regex	replace_char
#石川県#	#石川県#
野[ロ口久欠]市	野々市
ツ北	川北

#福井県#	#福井県#

#山梨県#	#山梨県#
甲奨	甲斐
早ツ	早川
河ロ	河口

#長野県#	#長野県#
駒ケ根	駒ヶ根
芽野	茅野
佐欠	佐久
[チ干]曲	千曲
束御	東御
ツ上	川上
相[ホ不]	相木
青[ホ不]	青木
中ツ	中川
松ツ	松川
売[ホ不]	売木
喬[ホ不]	喬木
[ホ不]曽	木曽
[ホ不]祖	木祖
[ホ不]島	木島

#岐阜県#	#岐阜県#
津ツ	津川
士岐	土岐
関ヶ原	関ケ原
輪え内	輪之内
安ハ	安八
揖斐ツ	揖斐川
ツ辺	川辺
ハ百	八百
白ツ	白川
束白川	東白川

#静岡県#	#静岡県#
伊束	伊東
掛ツ	掛川
牧え原	牧之原
束伊豆	東伊豆
菊ツ	菊川
ツ根	川根

#愛知県#	#愛知県#
豊ツ	豊川
長欠手	長久手
束郷	東郷
大ロ	大口
阿欠比	阿久比
束浦	東浦
束栄	東栄
束山	東山
名束	名東

#三重県#	#三重県#
束員	東員

#滋賀県#	#滋賀県#
犬津	大津
栗束	栗東
束近江	東近江

#京都府#	#京都府#
[ホ不]津	木津
束野	東野
原ロ	原口
堀ツ	堀川
欠御山	久御山
条鳥丸	条烏丸
鳥丸通	烏丸通
鳥丸御池	烏丸御池
槇鳥	槇島

#大阪府#	#大阪府#
守ロ	守口
茨[ホ不]	茨木
ハ尾	八尾
寝屋ツ	寝屋川
大束	大東
束大阪	東大阪
[チ干]早	千早
淀ツ	淀川
束淀川	東淀川
束成	東成
城束	城東
束住吉	東住吉
十[シミ]	十三
森え宮	森之宮
浜ロ	浜口

#兵庫県#	#兵庫県#
西[官宮]	西宮
加古ツ	加古川
[シミ三][ホ不木]	三木
加束	加東
猪名ツ	猪名川
束灘	東灘
[シミ三][官宮]	三宮

#奈良県#	#奈良県#
[シミ]宅	三宅
天ツ	天川
野迫ツ	野迫川
束吉野	東吉野

#和歌山#	#和歌山#
紀のツ	紀の川
広ツ	広川
有田ツ	有田川
日高ツ	日高川
古座ツ	古座川

#鳥取県#	#鳥取県#
ハ頭	八頭
[シミ]朝	三朝

#島根県#	#島根県#
ツ本	川本

#岡山県#	#岡山県
浅ロ	浅口

#広島県#	#広島県#
[シミ]原	三原
[シミ]次	三次
束広島	東広島
束城	東城
宮島ロ	宮島口

#山口県#	#山口県#
和[ホ不]	和木

#徳島県#	#徳島県#
吉野ツ	吉野川
[シミ]好	三好
束みよし	東みよし

#香川県#	#香川県#
束かがわ	東かがわ
[シミ]豊	三豊
綾ツ	綾川
詫問	詫間

#愛媛県#	#愛媛県#
